Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
112,49,57.32,58,50.8,50.9,80.13,80,90.65,91.2,88.21,69.91,56.6,57.58,70.11,16.28,121.9,-68.11,58.66,52.18,8.744,2.268,60.67,3.399,1.034,159.9,215.8,7.6,4.8,43.5,38.7,96,116.1,12,49,5.5,132.9,36.7,77.3,71,68,20.4,8.276,7.617,20,0,127.9,120.9,136,96.4,11,6.9,70,30,100,47.93,42,56,20,58.88,81.09,63.49,60.4,17.6,67.95,91.5
114,49,60.31,61.7,52.03,52.5,77.18,75.2,90.4,89.2,86.69,74.78,59.51,60.73,91.23,25.61,82.18,-16.56,74.79,67.55,11,3.755,68.27,3.852,0.9129,165.6,216.6,9.1,6.3,43.3,38.5,95.5,115.2,12.3,49.5,6.2,127.4,32.1,76.7,81,78,10.45,3.259,6.677,20,0,127.4,120.7,137.5,98.2,14.2,9.3,60,100,100,100,45,56,43.32,58.84,73.59,70.45,64.45,41.67,44.02,29.49
116,49,61.83,62.2,52.27,52,75.79,75.7,90.61,90.8,86.2,75.48,60.45,62.04,100.9,30,72.98,-2.124,86.25,73.83,14.32,1.908,73.83,4.107,0.856,163.3,216.6,9.3,6.8,42.9,38,97.2,118.6,14,48.8,6.1,123,25.5,81.1,88,84,22.44,6.327,6.14,20,0,126,120.2,136,97,15.1,10,60,100,100,100,45,56,48.81,58.64,73.27,72.9,67.15,49.22,59.78,-1.894
118,49,61.95,62,52.03,51.6,75.95,75.7,91.55,91.4,86.57,75.76,60.49,62.04,106.6,34.05,73.86,-1.293,89.55,76.4,13.95,0.7989,77.4,4.068,0.8644,164,216.6,9.2,6.6,42.4,37.5,98,120.1,14.2,48.2,5.8,122.5,24.5,83.1,93,89,17.41,4.643,5.704,20,0,125,119.5,135.5,97.3,15.7,10.4,60,100,100,100,45,56,49.29,58.6,71.75,72.82,67.24,62.12,59.93,-5.643
120,49,61.5,61.6,51.29,50.6,75.87,75.9,92.04,91.9,86.9,75.72,60,61.51,110.6,35.2,76.44,-1.014,92.25,78.72,13.6,0.06039,80.28,4.041,0.8702,164.2,216.9,8,6.8,42.6,37.7,98.7,121.6,14.8,47.5,5.1,122.5,23.2,84.4,96,92,15.7,4.036,5.448,20,0,123.7,118.5,135,97,15.9,11,70,100,100,100,45,56,49.77,58.47,71.83,72.21,66.66,63.23,58.85,-4.893
122,49,60.93,60.9,50.39,50.3,75.99,75.6,92.57,92.1,87.26,75.8,59.39,60.93,114.1,36.52,78.84,-1.302,94.28,80.51,13.83,0.05925,80.85,4.1,0.8576,165.1,214.7,7.8,6.9,42.3,37.4,99,122.1,14,47,4.7,122.2,23,84.2,96,92,11.31,2.82,5.448,20,0,123,117.8,138,100.1,16.4,10.8,70,100,100,100,45,56,50.26,58.43,71.75,71.92,66.25,65.81,58.56,-3.495
124,49,60.68,60.8,50.18,50,75.87,75.7,92.41,92.3,87.26,75.68,59.18,60.81,113.4,35.28,79.42,-1.297,94.66,81.15,14.68,1.168,80.89,4.115,0.8545,164.5,216.4,7.9,6.7,42.1,37.2,99,122.1,14.7,46.8,4.5,122,22.7,85.2,96,92,14.99,3.759,5.448,20,0,122.2,117.4,138.5,100.9,16.4,10.8,70,100,100,100,45,56,50.74,58.39,72.2,71.88,66.17,61.31,61.71,-3.577
126,49,60.64,60.8,50.1,50,75.83,75.7,92.33,92.1,87.26,75.6,59.06,60.73,112.2,34.45,79.36,-1.566,94.95,80.71,15.04,0.7966,81.07,4.118,0.8538,163.3,216.3,7.7,7.1,42.3,37.4,99.2,122.6,14.7,46.8,4.5,122,23,84.7,96,92,20.26,5.133,5.448,20,0,121.2,116.7,138,100.1,16.2,10.8,70,100,100,100,45,56,51.22,58.35,72.37,71.96,66.17,58.99,62.32,-2.771
128,49,60.68,60.8,50.18,50,75.79,75.4,92.33,91.9,87.02,75.48,59.1,60.77,113.5,36.44,79.23,-2.142,94.75,80.48,15.06,0.7991,80.69,4.128,0.8517,164.7,216.6,8,6.6,42,37.1,98.5,121.1,14.3,46.6,4.6,122,23.5,84,96,92,14.67,3.674,5.448,20,0,120.7,116.2,139,101,16.3,10.8,70,100,100,100,45,56,46.7,58.35,71.3,72,66.17,67.53,61.99,-2.614
130,49,60.68,60.8,50.18,50.1,75.83,75.6,92.29,91.9,87.14,75.64,59.1,60.77,111.7,34.91,78.04,-1.284,94.19,80.01,14.97,0.7944,80.63,4.107,0.8561,162.8,215.4,8,7.1,42,37.1,99,122.1,14.5,46.8,4.8,122,23,84.4,96,92,19.2,4.889,5.448,20,0,119.9,115.6,139,101.4,16.2,10.8,70,100,100,100,45,56,52.19,58.39,72.08,72.04,66.17,61.21,61.19,-4.116
132,49,60.64,60.8,50.1,50,75.67,75.4,92.25,91.9,86.98,75.44,59.02,60.73,112.9,35.86,78.57,-1.567,94.72,80.15,15.37,0.7947,80.93,4.115,0.8544,163.4,215.7,7.7,7.1,42.1,37.2,98.7,121.6,14.5,46.6,4.5,121.7,23,84.9,96,92,17.12,4.314,5.448,20,0,119.7,114.9,138,100.8,16.3,11,70,100,100,100,45,56,47.67,58.39,71.63,72.9,66.29,65.02,55.8,-3.273
134,49,60.8,61.1,50.31,50.1,75.71,75.6,92.16,92.1,86.9,75.48,59.1,60.93,112.6,36.05,78.15,-1.576,94.31,79.01,16.46,1.163,80.9,4.099,0.8578,164.2,215.6,8.1,6.6,42,37.1,98.5,121.1,14.3,46.8,4.8,121.7,23.5,84,96,92,16.52,4.171,5.448,20,0,119.2,114.7,138,100,16.3,11,70,100,100,100,45,56,53.15,58.35,71.46,73.11,66.83,65.98,62.9,-1.81
136,49,60.8,60.8,50.27,50.1,75.75,75.6,92.25,91.9,86.94,75.52,59.14,60.93,113.3,36.47,78.43,-1.58,95.02,80.03,16.16,1.167,81.05,4.122,0.8529,164.8,216.4,8.1,6.8,42,37.1,98.7,121.6,14.5,46.8,4.7,121.7,23,84.5,97,93,16.72,4.196,5.363,20,0,119,114.2,139,101.4,16.2,10.7,70,100,100,100,45,56,53.64,58.35,71.46,72.7,66.66,66.73,64.23,-3.363
138,49,60.6,60.8,50.1,50.1,75.71,76.5,92.12,91.9,87.02,75.48,58.98,60.73,111.8,34.77,78.61,-1.568,95.25,80.54,15.89,1.174,76.92,4.354,0.8076,163.5,217.8,7.8,6.3,42.3,37.4,98.2,120.6,14.3,46.8,4.5,121.2,23,83.4,88,84,18.69,4.753,6.14,20,0,118.8,114,133.5,95.1,15.4,10.7,70,0,100,58.62,42.93,56,50,58.31,72.08,72.09,66.25,60.6,65.37,-4
140,49,58.76,58.3,49.73,49.1,78.08,78.3,92.45,92.3,87.59,72.65,57.59,58.72,98.39,33.27,102.3,-37.18,81.31,70.76,10.24,-0.3094,73.76,3.876,0.9072,164.3,216.3,6.7,6.2,42.4,37.5,98.5,121.1,13.6,46.6,4.3,122.5,24,83.7,88,84,13.7,3.961,6.14,20,0,118.1,113.8,137,98.6,14,9.3,90,0,100,50.34,42.52,56,50,58.31,73.06,65.82,62.57,54.12,75.58,50.67
142,49,56.79,56.3,48.46,48.5,78.82,79.1,92.25,91.2,87.63,70.64,55.74,56.76,91.02,31.27,115.1,-55.4,74.9,65.47,9.118,-0.3088,62.88,4.188,0.8395,162.7,215.9,6.4,4.1,42.3,37.4,95.3,114.7,10.5,46.1,4,123,27.4,78.5,73,70,6.21,1.941,7.424,20,0,118.3,113.6,138,100,12.1,7.8,90,0,100,42.07,42.1,56,50,58.31,73.1,63.98,60.56,50.73,64.06,70.18
144,50,55.89,56,49.77,50.1,78.98,78.6,89.22,87.7,85.14,66.75,54.92,56.06,69.82,27.84,125.4,-83.41,55.07,46.37,10.23,1.534,53.77,3.601,0.9764,163.7,216.1,8.1,3.7,41.8,37.1,91.5,107.2,8.8,47.8,5.8,126,34.5,70.3,63,60,1.919,0.7816,8.428,20,0,117.8,113.3,136.5,98.3,9.1,5.9,80,0,100,32,42,56,50,58.31,71.71,63.2,59.7,49.86,70.21,103.2
146,50,55.64,55.6,49.77,50,77.75,77.5,87.54,86.1,83.42,65.36,54.68,55.77,66.38,27.96,122.5,-84.06,52.59,43.93,9.815,1.159,50.86,3.636,0.967,162.8,215,7.1,3.3,42.9,38,89.4,103.2,8.3,48,5.1,127.4,37.8,65.2,59,57,2.391,1.025,8.75,20,0,117.8,112.9,134,95,8.6,5.6,80,0,100,32,42,56,50,58.31,70.77,63.16,59.54,53.86,65.05,104.4
148,50,55.64,55.8,50.1,50.1,76.53,76.2,85.7,84.8,81.82,64.87,54.72,55.81,62.37,26.36,115.3,-79.27,49.54,41.27,9.791,1.523,50.96,3.418,1.029,163.2,214.5,7.9,4.3,42.1,37.2,89.1,102.8,9,48.2,5.9,127.7,38.8,65.1,59,57,5.829,2.658,8.75,20,0,117.8,112.9,134,95.8,8.8,5.8,80,0,100,32,42,56,50,58.31,69.95,63.28,59.58,54.36,63.47,104.8
150,50,55.32,55.5,49.77,49.6,76.07,76,85.16,84.7,81.41,64.38,54.31,55.45,61.85,25.55,115.9,-79.6,49.84,40.78,10.22,1.164,49.79,3.519,0.9991,163.3,215.8,6.5,3.9,43.1,38.2,88.6,101.8,8.8,48,5.1,126.6,38.2,63.6,57,55,7.536,3.465,8.971,20,0,117.6,112.9,134,94.7,8.8,5.5,80,0,100,32,42,56,50,58.31,70.03,63.04,59.29,52.3,65.51,105.9
152,50,55.32,55.6,50.1,50.1,75.79,75.7,84.34,84,80.96,64.26,54.43,55.57,57.9,22.91,113,-78.04,47.1,39.11,10.26,2.278,48.22,3.434,1.024,162.4,216.8,7.5,3.4,42.8,37.9,87.4,99.8,8.7,48.5,5.9,127.1,39.7,62.1,55,53,10.23,5.024,9.199,20,0,117.4,112.7,133.5,94.8,8.4,5.3,80,0,100,32,42,56,44,58.35,70.44,63.12,59.37,45.47,65.8,106.2
154,50,55.44,55.5,50.1,50.1,75.79,75.7,84.43,84.2,80.96,64.18,54.47,55.57,58.52,23.49,113.7,-78.68,47.9,39.23,9.831,1.161,49.23,3.421,1.028,162.6,215.4,7.5,3.8,42.4,37.5,88,100.8,9.3,48.3,5.7,126.8,39.1,62.6,56,54,11.89,5.779,9.084,20,0,117.6,112.4,135,96.6,8.5,5.4,80,0,100,32,42,56,44,58.35,70.52,63.2,59.46,46.31,63.02,106.5
156,50,55.36,55.6,50.02,50,75.87,75.7,84.51,84.3,81.12,64.22,54.39,55.53,58.69,23,114.9,-79.18,48.14,39.43,10.25,1.537,49.31,3.433,1.024,163.1,216.5,7.5,3.8,42.6,37.7,88,100.8,8.9,48.3,5.7,126.8,38.8,63.1,56,54,12.24,5.93,9.084,20,0,117.6,112.7,132.5,94,8.4,5.5,80,0,100,32,42,56,44,58.35,70.6,63.28,59.46,45.04,64.31,107.1
158,50,55.44,55.6,50.06,50,75.87,75.7,84.55,84.3,81.12,64.22,54.43,55.61,58.43,23.07,113.8,-78.47,48.36,39.3,10.59,1.532,49.31,3.448,1.02,161.6,215.8,7.4,3.8,42.6,37.7,88,100.8,9.1,48.3,5.7,126.8,38.8,63.1,57,55,13.88,6.754,8.971,20,0,117.6,112.4,132.5,93.5,8.3,5.6,80,0,100,32,42,56,44,58.35,70.52,63.65,59.66,45.48,63.68,105.8
160,50,55.48,55.6,50.1,50.1,75.87,75.7,84.55,84.3,81.08,64.22,54.43,55.61,59.03,23.58,114.7,-79.27,48.59,39.12,10.64,1.169,49.4,3.458,1.017,163.2,216.8,7.4,4,42.6,37.7,88.3,101.3,9.1,48.5,5.9,127.1,39.1,63.6,56,54,12.69,6.112,9.084,20,0,117.6,112.4,133.5,94.8,8.6,5.6,80,0,100,32,42,56,44,58.39,70.52,63.73,59.66,46.65,62.7,107.6
162,50,55.48,55.6,50.1,50.1,75.95,75.9,84.59,84.3,81.16,64.3,54.51,55.69,58.72,23.29,114.6,-79.22,48.51,39.8,10.62,1.906,49.41,3.452,1.018,163.1,216.5,7.3,3.7,42.8,37.9,88,100.8,9.1,48.5,5.7,127.1,39.1,63.6,56,54,13.54,6.557,9.084,20,0,117.6,112.4,133.5,94.3,8.4,5.6,80,0,100,32,42,56,44,58.39,70.56,63.77,59.7,45.92,62.61,106.5
164,50,55.52,55.6,50.1,50.1,75.91,75.9,84.55,84.3,81.12,64.3,54.51,55.65,58.12,23.05,113.2,-78.14,48.68,39.64,10.21,1.163,49.34,3.469,1.013,161.5,215.6,7.4,3.7,42.6,37.7,88,100.8,9.2,48.5,6.1,127.1,39.1,62.9,57,55,16.14,7.898,8.971,20,0,117.6,112.7,134.5,95.8,8.4,5.5,80,0,100,32,42,56,44,58.39,70.56,63.49,59.7,45.45,64.74,105
166,50,55.4,55.5,50.02,50,75.87,75.7,84.55,84.5,81.08,64.26,54.43,55.49,58.76,23.47,113.9,-78.63,48.4,39.71,9.491,0.7967,49.29,3.453,1.018,162.5,216,7.6,3.8,42.6,37.7,88.3,101.3,9.4,48.5,6.1,126.8,38.5,62.9,57,55,12.86,6.227,8.971,20,0,117.6,112.4,133.5,95.3,8.6,5.5,80,0,100,32,42,56,44,58.43,70.48,62.71,59.21,46.75,65.12,105.9
168,50,55.11,55.3,49.77,49.8,75.91,77.3,84.51,84.2,81.12,64.13,54.23,55.24,58.09,22.87,114.8,-79.57,48.24,40.25,9.161,1.17,48.22,3.518,0.9995,162.2,216.9,7,4,42.8,37.9,88.3,101.3,9.4,48.3,5.4,127.1,38.5,63.3,56,54,13.6,6.661,9.084,20,0,117.8,112.7,133,94.3,6.7,5.5,45,0,100,10,42,56,40.97,58.43,70.52,61.97,58.8,45.4,69.35,105.3
170,50,52.98,53.8,51.17,51.7,78.16,76.2,81.97,80.4,80.06,58.24,52.63,53.36,25.79,12.95,147.9,-135,16.26,13.11,6.509,3.358,36.65,1.56,2.253,162.6,214.9,5,2.7,46.6,41.9,83.2,92.3,4,50.3,3.7,141.3,57.8,50.4,43,41,3.144,3.468,10.74,20,0,117.6,112.7,134,90.8,4.3,2.2,25,0,100,10,42,56,40.77,58.43,70.32,55.22,54.75,26.14,156.2,148.2
172,50,52.61,52.2,50.1,49.8,76.4,76.2,81.15,80.2,78.22,57.38,52.26,52.66,32.21,19.91,141.4,-129.1,22.48,19.33,3.574,0.4256,32.51,2.431,1.447,162.8,214.7,4.4,0.5,45.4,40.6,80.7,87.9,3.1,49.6,4.2,148.7,67.7,47.8,38,37,-1.709,-1.509,11.36,20,0,118.5,112.9,132,90.1,4.2,2.4,45,0,100,10,42,56,40.56,58.43,69.34,54.44,53.77,43.82,85.77,140.6
174,50,52.33,52.5,50.43,50.4,75.13,74.9,78.86,78.4,76.91,56.76,52.1,52.54,25.26,13.24,136.6,-124.6,16.98,14.93,3.938,1.89,32.68,1.826,1.925,162.8,214.6,6.3,1.7,44.1,39.3,80.1,86.9,4.2,50.3,6.3,153.8,74.1,47.1,38,37,3.535,3.979,11.36,20,5,119.2,113.1,130.5,90.5,3.5,2.1,45,0,100,10,42,56,25.36,58.43,70.32,54.27,53.52,26.74,94.52,145
176,50,52.25,52.4,50.18,50.1,75.17,75,78.9,78.6,76.99,56.6,52.02,52.42,25.31,12.99,138.5,-126.2,18.42,16.38,3.568,1.522,33.41,1.939,1.814,163.1,214.4,6.1,1.8,44,39.2,80.4,87.4,4,50.1,6.1,155.8,75.4,48.2,39,38,9.201,10.34,11.2,20,5,120.2,113.8,130.5,90.5,3.6,2.3,45,0,100,10,42,56,25.16,58.47,70.69,54.11,53.36,25.52,85.64,143.8
178,50,52,51.9,49.94,49.8,75.22,75.2,78.98,79.1,77.07,56.4,51.73,52.13,25.68,13.03,141,-128.4,18.45,16.03,3.573,1.158,33.54,1.933,1.818,163.7,214.7,5.5,1.9,44.3,39.5,81,88.4,4.6,50.1,5.8,156.2,75.2,47.9,39,38,8.108,8.98,11.2,20,5,120.9,114.7,131.5,91,3.9,2.1,45,0,100,10,42,56,28.96,58.51,70.81,53.82,53.11,25.44,85.76,145.1
180,50,52,52.2,50.22,50.4,74.93,74.6,78.28,77.6,76.7,56.31,51.77,52.21,22.71,10.71,138,-126,16.05,13.98,3.982,1.91,31.54,1.79,1.965,162.4,217,4.8,1.6,45.6,40.8,78.9,85.4,3.2,50.4,4.8,158.7,80.2,44.8,37,36,8.14,10.19,11.53,20,5,121.7,115.1,130,88.1,3.2,1.8,45,0,100,10,42,56,21.76,58.55,70.77,53.82,53.07,21.05,95.57,146
182,50,52.45,52.7,50.68,50.8,74.68,74.6,78.08,77.9,76.5,56.6,52.26,52.66,23.13,10.78,135.5,-123.2,15.96,14.27,3.591,1.9,32,1.754,2.005,163.5,215.8,6.5,1.7,44.3,39.5,79.8,86.4,5.3,50.6,6.2,162,82.8,46.8,37,36,6.778,8.333,11.53,20,5,122.5,115.7,132,91.2,3.4,1.9,35,0,100,10,42,56,21.56,58.55,71.38,54.32,53.52,20.18,86.19,146.2
184,50,52.61,52.7,50.63,50.6,75.01,74.9,78.61,78.7,76.86,56.76,52.39,52.74,24.57,11.92,137.1,-124.5,17.83,15.77,3.228,1.165,32.65,1.92,1.831,163.7,216.1,6.5,1.1,44.3,39.5,79.8,86.4,5.7,50.6,6.3,162,81.1,47.3,38,37,8.956,10.37,11.36,20,5,123.2,116.4,130.5,89.4,3.7,1.9,35,0,100,10,42,56,24.36,58.6,71.55,54.4,53.64,22.09,77.47,144.9
186,50,52.61,52.7,50.63,50.8,75.09,75,78.65,78.7,76.91,56.81,52.39,52.78,24.16,11.85,136.4,-124.1,17.81,15.75,3.592,1.532,32.74,1.913,1.838,162.9,215.9,6,1.1,44.8,40,79.8,86.4,4.7,50.8,6.2,161.5,81.2,48.1,38,37,10.41,12.25,11.36,20,5,124,116.9,129.5,90.1,3.7,2.1,35,0,100,10,42,56,24.16,58.68,71.14,54.48,53.72,22.84,86.22,144.1
188,50,52.66,52.7,50.72,50.8,75.13,75.2,78.65,78.6,76.91,56.81,52.43,52.74,23.68,11.75,135.2,-123.3,17.35,15.3,2.841,0.7914,33.36,1.828,1.923,161.5,214.7,6.2,1.8,44.6,39.8,80.4,87.4,4.4,50.8,6.2,160.6,80.2,47.9,38,37,11.09,13.32,11.36,20,5,124.7,117.4,131,89.9,3.6,2.1,35,0,100,10,42,56,27.96,58.68,71.01,54.44,53.72,22.87,68.18,143.2
190,50,52.57,52.7,50.59,50.6,75.17,75,78.73,78.9,77.03,56.81,52.39,52.74,24.16,11.58,137.2,-124.6,17.68,16,3.201,1.521,32.97,1.885,1.865,162.9,214.3,6,1.2,44.9,40.1,80.1,86.9,4.7,50.8,6.2,160.6,80.5,48.1,38,37,10.19,11.99,11.36,20,5,125,118.1,130.5,90,3.9,2.1,35,0,100,10,42,56,23.75,58.68,71.14,54.44,53.68,22.3,76.82,143.9
192,50,52.53,52.7,50.55,50.6,75.17,75,78.78,78.9,76.99,56.81,52.34,52.7,24.5,12.16,137.3,-125,17.92,16.21,3.244,1.542,32.84,1.918,1.833,163.3,217.1,5.8,1.7,44.8,40,80.1,87.4,4.4,50.8,6,160.1,80,47.4,38,37,9.685,11.24,11.36,20,5,125.5,118.3,131.5,90.4,3.9,2.1,35,0,100,10,42,56,23.55,58.68,71.01,54.4,53.68,23.67,77.85,144
194,50,52.49,52.5,50.51,50.4,75.22,75.2,78.78,78.7,77.07,56.76,52.26,52.66,24.17,11.58,137.8,-125.2,17.81,15.75,3.593,1.533,32.8,1.909,1.842,162.9,215.8,5.8,1.7,44.6,39.8,80.4,87.4,4.8,50.8,6,160.6,79.4,47.4,39,38,10.44,12.28,11.2,20,5,125.7,118.5,131,90.2,3.3,2.1,45,0,100,10,42,56,27.35,58.68,71.18,54.32,53.6,22.23,86.22,144.3
196,50,52.49,52.5,50.51,50.4,75.17,75.2,78.73,78.9,76.99,56.72,52.22,52.62,24.19,11.87,137.7,-125.4,17.78,15.36,3.589,1.164,32.88,1.902,1.849,163.1,215.6,5.5,1.8,44.9,40.1,80.7,87.9,4.5,50.8,6,159.6,80.2,47.8,39,38,10.35,12.17,11.2,20,5,126,119,131,89.7,3.9,2.1,45,0,100,10,42,56,27.15,58.72,71.1,54.32,53.6,23.02,86.13,144.9
198,49,52.45,52.5,50.51,50.4,75.22,74.7,78.78,78.9,77.07,56.72,52.22,52.58,24.13,11.56,137.9,-125.3,17.39,15.33,3.215,1.16,36.06,1.695,2.074,162.7,215.2,6.6,2.4,43.8,39,81.3,88.9,5.1,50.8,6.8,160.1,78.8,49.4,40,39,12.35,14.55,11.04,20,5,126.3,119.2,132,91,4.6,2.1,70,50,100,50,42,56,40,58.72,71.18,54.89,53.52,22.27,56.36,144.6
200,49,56.01,56.5,50.63,49.8,69.89,70,78.65,80,75.35,64.26,55.17,56.14,58.87,22.19,74.54,-37.86,48.34,40.76,8.742,1.163,51.26,3.315,1.06,161.3,215.7,6.3,5.2,43.5,38.7,85.2,95.8,11.3,49,5.5,140.4,54.8,57.1,58,56,14.25,6.884,8.86,20,0,126.3,119.2,133,93,10,6.7,80,50,100,50,42,56,40,58.68,67.9,63.94,59.7,57.74,49.54,73.08
202,49,55.93,56.3,49.77,50,71.57,71.8,81.27,81.5,78.3,65.9,54.84,56.02,65.03,19.94,83.13,-38.04,55.57,45.74,10.63,0.799,51.14,3.821,0.9203,160.9,216.6,7.2,4.5,42.8,37.9,86,97.3,11.1,48.3,5.5,124,38.2,59.4,57,55,17.85,7.806,8.971,20,0,125.7,119.5,132,93.5,9.7,6.3,70,50,100,50,42,56,40,58.64,69.54,64.43,60.19,43.9,60.22,72.36
204,49,57.73,59.1,50.88,50.9,70.22,69.5,80.7,80.8,77.68,68.68,56.64,58.15,72.17,20.77,62.01,-10.61,61.31,51.56,13.46,3.722,55.43,3.889,0.9041,165.3,214.7,8.5,6.1,42.4,37.5,86.6,98.8,11.4,48.8,6.4,121.2,34.6,61.3,66,63,17.23,6.791,8.116,20,0,124.7,119,132,93.8,11.4,8.2,70,100,100,100,45,56,44.21,58.6,67.37,68.52,62.73,56.82,55.8,27.83
206,49,58.88,59.3,50.51,50.3,70.63,70.6,83.36,83.8,79.53,70.56,57.46,59.01,87.07,26.23,61.29,-0.4539,75.35,62.6,13.92,1.167,62.04,4.27,0.8233,164.1,216.1,7.8,5.8,42.6,37.7,89.6,103.7,13.4,47.8,5.2,116.9,26.7,66,72,69,20.86,6.814,7.52,20,0,123.7,118.5,134.5,95.7,13,8.9,70,100,100,100,45,56,56.54,58.55,68.64,69.75,64.25,62.42,60.71,-3.492
208,49,58.8,58.8,50.14,50,70.87,70.8,84.18,84,79.89,70.69,57.34,58.84,91.2,29.37,63.12,-1.297,77.9,64.78,13.55,0.4283,62.81,4.361,0.8063,164.5,216,7.7,5.9,42.3,37.4,89.9,104.2,12.1,47.5,5.2,116.2,26.8,66.3,73,70,16.06,5.007,7.424,20,0,122.7,117.8,135.5,97.1,13.2,8.8,70,100,100,100,45,56,56.86,58.47,67.16,69.59,64.12,81.1,59.51,-4.329
210,49,58.72,58.8,50.1,50,70.87,70.6,84.18,84,79.94,70.69,57.22,58.8,90.91,29,63.2,-1.293,77.35,63.9,14.25,0.7951,62.7,4.338,0.8106,164,215.5,7.7,5.9,42.3,37.4,89.9,104.2,12.6,47.3,5,116,26.3,66.2,73,70,15.04,4.705,7.424,20,0,121.5,117.1,135.5,97.3,13.2,8.7,70,100,100,100,45,56,57.18,58.35,67.25,69.75,64.12,78.23,60.78,-1.81
212,49,58.76,58.8,50.1,50,70.83,70.6,84.14,83.8,79.81,70.6,57.22,58.84,91.52,29.76,63.34,-1.583,77.15,63.43,14.51,0.7893,62.57,4.335,0.811,165.1,214,7.7,6.1,42.3,37.4,89.9,104.2,12.3,47.2,4.9,116.2,26.3,66.3,73,70,12.06,3.748,7.424,20,0,120.7,116.4,135,97.4,13.2,8.8,70,100,100,100,45,56,57.5,58.31,67,69.79,64.21,82.17,62.34,-0.23
214,49,58.72,58.9,50.1,50,70.71,70.8,84.1,83.8,79.81,70.6,57.18,58.76,91.84,29.4,63.17,-0.7363,77.45,63.61,14.27,0.4278,62.63,4.348,0.8087,164.6,215.8,7.7,6.1,42.4,37.4,89.9,104.2,12.3,47.2,4.9,115.7,25.8,66.8,73,70,12.03,3.725,7.424,20,0,119.7,116,135,97,13,8.9,70,100,100,100,45,56,57.83,58.27,67.12,69.75,64.17,79.68,61.3,-1.126
216,49,58.72,58.8,50.1,50,70.71,70.6,84.1,83.8,79.73,70.56,57.18,58.8,91.62,29.89,62.74,-1.015,78.34,64.34,14.81,0.8052,62.6,4.4,0.7991,164.2,218.3,7.7,5.8,42.3,37.4,89.4,103.7,12.1,47,4.9,115.7,26.6,66.3,73,70,15.92,4.943,7.424,20,0,119,115.3,134,96,13.2,8.8,70,100,100,100,45,56,58.15,58.27,66.92,69.75,64.17,82.92,63.61,-4.183
218,49,58.76,58.9,50.06,50.1,70.67,70.4,84.1,83.8,79.61,70.52,57.18,58.8,92,30.77,62.25,-1.016,78.21,63.99,14.64,0.4279,62.57,4.395,0.8,164.4,215.9,8,5.8,42.1,37.2,89.6,103.7,12.1,47.2,4.9,116,26.6,66,72,69,14.06,4.346,7.52,20,0,118.3,114.5,133.5,95.3,13.4,8.8,70,100,100,100,45,56,53.47,58.27,66.55,70.9,64.49,89.15,54.86,-4.596
220,49,58.92,59.3,50.22,50.1,70.75,70.8,84.14,84,79.77,70.6,57.34,59.05,91.59,29.88,62.72,-1.014,78,63.83,15.34,1.161,63.14,4.344,0.8094,164.2,215.3,7.9,5.9,42.4,37.5,89.9,104.2,12.7,47.3,4.9,116,25.5,66.3,73,70,15.38,4.775,7.424,20,0,117.8,114.2,135.5,97.3,13.1,9,70,100,100,100,45,56,58.79,58.27,67.04,70.94,64.86,81.73,60.56,-2.894
222,49,59,59.1,50.22,50,70.79,70.6,84.3,84.3,79.77,70.6,57.38,59.13,92.1,30.89,62.5,-1.29,78.81,64.26,15.72,1.163,63.52,4.363,0.8059,163.6,215.5,7.8,5.6,42.3,37.4,89.9,104.2,12.7,47.3,5,115.7,25.8,67.5,74,71,16.79,5.186,7.328,20,0,117.4,113.6,134,97.1,13.7,9,70,100,100,100,45,56,59.11,58.27,66.59,71.1,64.98,89.07,61.66,-4.595
224,49,58.88,58.9,50.14,50.1,70.75,70.4,84.38,84.2,79.73,70.6,57.3,59.01,93.23,31.83,62.42,-1.013,78.6,64.38,15.38,1.166,63.34,4.363,0.8059,164.1,215.9,7.9,5.4,42.1,37.2,89.6,103.7,12.7,47.2,5.2,115.7,26.1,67.3,74,71,11.87,3.621,7.328,20,0,116.9,113.6,134.5,96.6,13.8,8.9,70,100,100,100,45,56,54.44,58.27,66.35,70.94,64.9,94.57,61.16,-5.156
226,49,58.84,58.9,50.06,50,70.75,70.3,84.34,84,79.77,70.56,57.18,58.93,93.11,31.32,63.08,-1.296,78.34,63.51,15.63,0.7891,63.36,4.347,0.8088,164.4,214.2,7.7,5.7,42.3,37.4,89.9,104.2,12.4,47,4.9,115.7,25.8,67,74,71,11.45,3.499,7.328,20,0,116.7,113.1,133.5,95.6,13.6,8.9,70,100,100,100,45,56,54.76,58.27,66.39,70.82,64.78,92.58,62.12,-1.105
