TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
39.0,51.26,51.2,40.44,40.2,69.56,69.4,79.76,79.5,77.56,69.46,50.75,51.39,113.7,24.5,90.36,-1.196,96.75,92.14,5.767,1.157,73.79,4.61,0.7627,267.6,214.5,5.1,6.2,35.3,30.8,85.7,96.8,9.8,37.7,2.6,105.9,20.2,65.7,87.0,83.0,14.3,3.5780000000000003,6.228,20.0,0.0,111.6,109.2,136.0,104.6,10.0,11.0,60.0,30.0,100.0,85.0,57.0,56.0,50.91,55.98,66.63,55.22,53.44,55.18,77.82,-5.269
39.0,51.22,51.2,40.4,40.2,69.61,69.4,79.8,79.5,77.56,69.46,50.75,51.35,113.6,24.96,90.35,-1.653,96.89,92.64,5.409,1.159,73.92,4.6080000000000005,0.7629,267.6,214.8,5.1,6.0,35.3,30.6,85.7,96.8,9.5,37.7,2.6,105.9,20.4,65.5,87.0,83.0,14.98,3.7489999999999997,6.228,20.0,0.0,111.3,108.6,135.5,103.7,10.1,11.0,60.0,30.0,100.0,85.0,57.0,56.0,51.07,55.93,66.63,55.22,53.4,55.98,71.35,-6.785
39.0,51.18,51.2,40.32,40.1,69.61,69.4,79.76,79.5,77.56,69.46,50.67,51.31,112.8,24.43,90.07,-1.6480000000000001,97.75,93.11,5.803999999999999,1.1640000000000001,74.24,4.629,0.7596,266.8,215.9,5.0,6.0,35.1,30.6,85.7,96.3,9.7,37.7,2.4,106.1,20.2,65.5,88.0,84.0,21.15,5.33,6.14,20.0,0.0,110.7,108.6,133.5,102.6,10.1,11.1,60.0,30.0,100.0,85.0,57.0,56.0,51.23,55.93,66.63,55.13,53.36,54.79,78.32,-8.994
39.0,51.18,51.2,40.32,40.2,69.61,69.5,79.84,79.7,77.64,69.5,50.62,51.35,113.8,24.44,90.58,-1.194,97.18,92.2,6.502999999999999,1.524,74.45,4.5889999999999995,0.7662,266.9,214.7,5.0,6.0,35.1,30.6,85.7,96.8,9.7,37.7,2.4,105.9,20.2,66.7,88.0,84.0,15.92,3.978,6.14,20.0,0.0,110.5,108.2,136.5,105.1,10.2,11.2,60.0,30.0,100.0,85.0,57.0,56.0,51.4,55.85,66.63,56.77,53.89,54.41,54.12,-4.771
39.0,51.59,51.9,40.68,40.7,69.77,69.8,79.96,79.9,77.68,69.66,50.91,51.8,112.8,25.23,88.78,-1.188,97.75,91.66,7.984,1.895,75.13,4.575,0.7686,265.6,215.1,5.4,6.1,35.3,30.8,86.0,97.3,9.5,37.8,2.6,106.3,20.1,66.5,88.0,84.0,22.14,5.581,6.14,20.0,0.0,110.5,107.7,135.5,104.9,10.1,11.4,60.0,30.0,100.0,85.0,57.0,56.0,51.56,55.89,66.67,57.71,54.83,56.16,66.44,-8.612
39.0,51.88,52.0,40.85,40.7,69.93,69.8,80.21,80.0,77.77,69.78,51.12,52.01,113.8,27.07,88.41,-1.642,98.79,91.97,7.98,1.16,76.37,4.548,0.773,265.9,215.0,5.4,6.3,35.3,30.8,86.3,97.8,9.8,38.0,2.5,106.7,20.4,67.0,91.0,87.0,23.48,5.8660000000000005,5.877000000000001,20.0,0.0,110.1,107.7,135.0,103.7,10.0,11.3,60.0,30.0,100.0,85.0,57.0,56.0,51.72,55.85,66.39,57.96,55.03,61.66,65.48,-10.71
39.0,51.84,51.9,40.73,40.4,69.97,69.7,80.41,80.4,77.89,69.87,51.07,52.01,116.1,28.09,89.25,-1.194,99.67,92.84,8.357999999999999,1.5290000000000001,77.4,4.527,0.7766,267.0,215.3,5.1,5.9,35.1,30.6,86.3,97.8,9.2,37.8,2.5,106.9,20.7,67.5,92.0,88.0,19.46,4.763999999999999,5.791,20.0,0.0,110.1,107.5,135.0,104.1,10.6,11.5,60.0,30.0,100.0,85.0,57.0,56.0,51.88,55.85,66.14,57.92,55.03,65.53,69.56,-10.74
39.0,51.71,51.7,40.52,40.2,70.06,70.4,80.62,80.8,77.93,69.78,50.99,51.84,114.8,29.24,88.56,-2.947,100.1,93.66,7.601,1.158,74.61,4.717,0.7453,261.0,214.6,4.6,6.2,35.6,31.1,86.6,98.3,9.8,37.8,2.2,106.9,20.3,67.2,87.0,83.0,22.75,5.635,6.228,20.0,0.0,109.8,107.3,131.0,99.6,10.4,11.5,30.0,0.0,100.0,33.0,48.0,56.0,50.93,55.85,65.94,56.77,54.95,69.58,100.3,-15.03
39.0,47.95,47.0,39.95,39.2,72.31,71.7,80.21,79.2,77.4,62.7,47.47,47.95,88.15,31.37,164.0,-107.2,71.94,67.67,4.329,0.05956,59.69,4.238,0.8297,267.8,215.8,3.5,4.4,35.6,31.1,84.0,93.3,7.2,37.8,2.2,108.4,24.2,62.2,69.0,66.0,2.673,0.8625,7.814,20.0,0.0,109.8,107.5,134.5,102.6,7.7,7.9,50.0,0.0,100.0,33.0,48.0,56.0,61.53,55.81,63.77,49.89,49.51,94.64,103.9,157.3
39.0,45.78,45.8,39.21,39.6,70.42,69.5,76.93,75.2,75.06,60.49,45.55,46.11,73.24,21.04,164.0,-111.8,59.09,57.03,5.069,3.0069999999999997,48.22,4.309,0.8159,270.1,216.0,3.8,3.4,35.8,31.3,78.6,84.4,4.8,38.0,2.4,105.3,26.0,53.8,54.0,52.0,-1.516,-0.5886,9.315,20.0,0.0,109.6,107.3,133.0,100.6,5.8,6.2,40.0,0.0,100.0,33.0,48.0,56.0,43.13,55.77,64.09,48.26,47.42,60.67,121.6,176.1
39.0,46.14,46.3,39.7,39.6,69.36,69.2,75.7,75.4,73.92,60.0,45.87,46.32,71.45,20.14,156.7,-105.4,57.54,55.13,3.9339999999999997,1.5219999999999998,49.92,4.053,0.8675,270.3,214.3,3.8,3.8,35.8,31.3,79.2,85.4,6.4,38.4,2.6,107.3,27.9,54.0,56.0,54.0,1.014,0.4037,9.084,20.0,0.0,109.2,107.1,134.0,101.6,6.2,6.7,40.0,0.0,100.0,33.0,48.0,56.0,42.73,55.81,65.65,48.26,47.5,49.12,94.41,175.2
39.0,45.86,45.9,39.42,39.1,69.52,69.4,75.87,75.7,74.2,60.04,45.67,46.11,71.51,18.77,159.6,-106.9,58.01,56.32,3.965,2.271,50.26,4.058,0.8665,270.5,216.1,2.8,4.1,36.3,31.7,79.8,86.4,7.0,38.2,1.9,107.5,27.5,54.0,57.0,55.0,2.792,1.11,8.971,20.0,0.0,109.2,106.7,133.5,100.8,6.3,6.8,50.0,0.0,100.0,33.0,48.0,56.0,42.32,55.89,65.98,48.09,47.3,44.67,95.16,175.1
39.0,45.65,45.6,39.05,38.9,69.69,69.5,75.95,75.7,74.37,60.0,45.38,45.86,70.47,17.81,161.7,-109.0,58.96,56.56,4.295,1.885,50.33,4.119,0.8536,270.0,214.2,2.6,3.8,36.2,31.6,79.5,85.9,7.0,37.8,1.5,106.9,27.4,54.2,57.0,55.0,9.896,3.9939999999999998,8.971,20.0,0.0,108.8,106.9,133.5,100.9,6.2,6.7,50.0,0.0,100.0,33.0,48.0,56.0,41.92,55.89,66.1,47.81,47.05,41.89,103.1,175.6
39.0,45.65,45.9,39.46,39.6,69.36,69.0,75.42,75.0,73.96,59.88,45.47,45.99,68.18,16.44,158.5,-106.7,55.79,54.09,4.7010000000000005,3.008,48.65,4.032,0.8721,270.1,216.0,4.2,3.6,35.4,30.9,78.9,84.9,6.6,38.4,3.0,107.5,28.6,53.3,55.0,53.0,5.078,2.1180000000000003,9.199,20.0,0.0,109.0,106.7,133.0,100.9,6.0,6.3,40.0,0.0,100.0,33.0,48.0,56.0,41.52,55.93,65.98,47.85,47.05,39.27,112.8,177.9
39.0,45.9,45.9,39.58,39.6,69.11,69.0,75.17,74.9,73.63,59.75,45.67,46.11,67.91,17.29,155.6,-104.9,56.97,54.91,3.97,1.905,49.02,4.086,0.8605,269.1,216.3,3.8,3.7,35.8,31.3,78.9,84.4,6.6,38.4,2.4,107.7,28.8,53.0,55.0,53.0,10.55,4.418,9.199,20.0,0.0,109.0,106.7,131.5,99.1,5.9,6.3,40.0,0.0,100.0,33.0,48.0,56.0,41.12,55.98,65.73,48.05,47.26,42.53,95.27,174.1
39.0,45.82,45.9,39.5,39.4,69.11,69.0,75.21,75.0,73.71,59.79,45.63,46.11,68.45,16.85,156.2,-104.6,56.49,54.81,4.302,2.62,49.17,4.04,0.8704,269.4,214.5,3.4,3.9,36.0,31.4,78.9,84.9,6.6,38.4,2.4,107.5,28.8,53.5,56.0,54.0,7.122000000000001,2.9589999999999996,9.084,20.0,0.0,108.8,106.5,134.0,101.6,6.0,6.5,50.0,0.0,100.0,33.0,48.0,56.0,40.72,55.98,65.81,47.97,47.21,41.1,103.3,174.8
39.0,45.78,45.8,39.46,39.4,69.2,69.0,75.3,75.2,73.83,59.79,45.59,46.03,68.71,16.45,158.2,-105.9,56.46,54.78,3.935,2.254,49.25,4.031000000000001,0.8723,270.4,214.4,3.4,4.0,36.0,31.4,79.2,85.4,6.6,38.4,2.4,107.7,28.3,52.8,56.0,54.0,6.183,2.559,9.084,20.0,0.0,108.8,106.3,133.0,98.3,6.0,6.5,50.0,0.0,100.0,33.0,48.0,56.0,40.31,56.02,65.94,47.97,47.17,39.81,94.44,176.8
39.0,45.74,45.9,39.37,39.2,69.28,69.2,75.42,75.4,73.88,59.84,45.55,45.99,68.77,17.27,157.3,-105.8,56.48,54.81,3.91,2.24,49.47,4.013999999999999,0.8759,268.8,213.1,3.0,3.5,36.2,31.6,78.9,84.9,6.9,38.2,2.0,107.5,28.6,53.7,56.0,54.0,6.269,2.593,9.084,20.0,0.0,108.8,106.5,132.5,100.1,6.2,6.7,50.0,0.0,100.0,33.0,48.0,56.0,39.91,56.06,66.02,47.89,47.13,41.62,93.84,175.1
39.0,45.69,45.6,39.33,39.1,69.36,69.2,75.5,75.4,73.96,59.88,45.47,45.95,69.35,17.42,159.0,-107.1,56.75,54.7,4.294,2.251,49.55,4.027,0.8732,271.1,214.1,3.0,3.5,36.3,31.7,78.9,84.9,6.6,38.4,2.2,107.3,28.4,53.8,56.0,54.0,5.237,2.148,9.084,20.0,0.0,108.8,106.5,134.0,101.4,6.0,6.4,50.0,0.0,100.0,33.0,48.0,56.0,39.51,56.06,66.14,47.85,47.01,41.46,103.1,177.8
39.0,45.65,45.8,39.33,39.1,69.36,69.4,75.54,75.2,74.04,59.88,45.47,45.91,69.22,16.81,158.6,-106.2,56.57,54.88,3.9410000000000003,2.2569999999999997,49.4,4.026,0.8733,268.8,214.8,2.9,3.8,36.2,31.6,78.9,84.9,6.6,38.2,2.2,107.3,28.4,53.8,56.0,54.0,4.902,2.0140000000000002,9.084,20.0,0.0,108.6,106.3,133.0,100.6,5.8,6.7,50.0,0.0,100.0,33.0,48.0,56.0,39.11,56.06,66.18,47.85,47.05,39.85,94.59,175.8
39.0,45.74,45.9,39.37,39.1,69.4,69.4,75.5,75.2,74.04,59.92,45.47,45.95,68.66,16.44,159.0,-106.8,57.09,54.67,4.32,1.8969999999999998,49.44,4.06,0.866,270.2,215.4,3.1,4.0,36.3,31.7,79.2,85.4,7.2,38.2,2.0,107.5,27.8,53.8,56.0,54.0,8.772,3.634,9.084,20.0,0.0,108.6,106.5,133.0,100.4,6.0,6.5,50.0,0.0,100.0,33.0,48.0,56.0,38.7,56.06,66.26,47.89,47.05,38.66,103.7,177.3
39.0,45.78,45.9,39.46,39.4,69.4,69.4,75.54,75.4,74.08,59.96,45.55,46.03,69.04,16.42,158.8,-106.2,57.01,54.94,4.342,2.276,49.35,4.061,0.8657,269.9,216.5,3.0,3.8,36.2,31.6,79.2,85.4,6.7,38.5,2.5,107.3,28.5,53.7,56.0,54.0,7.069,2.912,9.084,20.0,0.0,108.6,106.3,132.0,99.8,6.2,6.7,50.0,0.0,100.0,33.0,48.0,56.0,38.3,56.06,66.31,47.97,47.13,38.46,104.2,176.5
40.0,45.82,45.9,39.46,39.4,69.61,70.9,75.58,75.9,74.16,60.0,45.59,46.03,67.19,15.96,159.2,-108.0,56.7,54.66,3.926,1.8840000000000001,45.49,4.382,0.8023,269.8,213.9,2.2,3.9,37.2,32.5,79.8,86.4,6.8,38.5,1.4,108.0,28.2,54.5,52.0,50.0,8.632,3.654,9.552999999999999,20.0,0.0,108.6,106.3,131.5,98.3,4.7,6.3,30.0,0.0,100.0,15.0,48.0,56.0,46.97,56.06,66.35,47.97,47.21,37.22,94.22,177.2
40.0,43.85,43.9,40.44,40.5,70.75,69.8,74.35,73.1,73.02,53.28,43.75,44.1,40.4,15.0,221.3,-195.9,30.64,29.69,3.219,2.265,37.17,2.8989999999999996,1.213,269.2,215.4,4.0,1.9,36.5,31.9,75.0,78.9,2.0,39.8,3.3,117.1,42.4,47.3,43.0,41.0,2.859,2.013,10.74,20.0,0.0,108.8,106.3,131.5,98.6,3.3,3.4,20.0,0.0,100.0,15.0,48.0,56.0,34.77,56.06,64.34,45.63,45.21,43.48,77.25,233.1
40.0,43.89,43.9,40.52,40.2,70.06,69.7,73.58,73.6,72.24,52.55,43.79,44.06,39.6,15.05,221.6,-197.0,30.15,29.2,2.4730000000000003,1.5230000000000001,37.64,2.8160000000000003,1.249,270.1,214.5,3.5,1.7,37.1,32.4,75.3,79.4,4.0,39.8,2.9,122.5,46.9,47.5,44.0,42.0,4.396,3.157,10.6,20.0,0.0,109.2,106.3,130.0,96.5,3.8,3.5,30.0,0.0,100.0,15.0,48.0,56.0,34.56,56.06,65.4,45.23,44.88,38.65,59.35,234.5
40.0,43.61,43.6,40.23,40.1,70.02,69.8,73.58,73.5,72.28,52.38,43.5,43.86,40.17,14.63,224.5,-198.9,30.09,29.15,3.2,2.251,37.64,2.8110000000000004,1.251,270.8,214.2,2.7,2.4,37.2,32.5,75.7,79.9,4.2,39.8,2.6,122.7,46.8,47.4,43.0,41.0,2.217,1.57,10.74,20.0,0.0,109.6,106.7,131.5,98.1,3.7,3.7,30.0,0.0,100.0,15.0,48.0,56.0,34.36,56.06,65.49,44.94,44.59,37.24,76.79,235.6
40.0,43.36,43.4,40.03,39.9,70.06,69.8,73.53,73.5,72.32,52.22,43.25,43.57,39.08,13.65,225.8,-200.4,29.87,28.92,2.847,1.895,37.57,2.7960000000000003,1.258,269.6,215.2,2.8,1.8,37.1,32.4,75.3,79.4,4.2,39.8,2.7,122.5,47.0,47.0,43.0,41.0,5.21,3.792,10.74,20.0,0.0,109.8,106.9,130.0,96.2,3.7,3.5,30.0,0.0,100.0,15.0,48.0,56.0,34.16,56.1,65.53,44.65,44.35,34.73,68.34,235.1
40.0,43.12,43.0,39.82,39.6,70.02,69.8,73.49,73.0,72.24,52.1,43.05,43.37,39.15,14.13,226.7,-201.7,29.45,28.87,2.843,2.258,35.48,2.918,1.205,270.1,214.8,1.9,1.4,37.7,33.0,74.4,78.0,3.0,39.8,2.1,122.5,48.1,45.0,40.0,39.0,1.3940000000000001,1.013,11.04,20.0,0.0,110.5,107.5,131.5,97.7,3.3,3.4,30.0,0.0,100.0,15.0,48.0,56.0,33.96,56.1,65.49,44.45,44.1,36.12,68.23,235.7
40.0,43.48,43.4,40.28,39.9,69.36,69.2,72.76,72.7,71.54,52.1,43.38,43.69,38.3,13.7,219.2,-194.6,28.81,27.85,2.852,1.8969999999999998,36.62,2.765,1.271,270.6,215.5,2.5,1.7,37.6,32.9,74.4,78.0,3.3,40.1,2.5,123.7,49.6,45.1,42.0,40.0,3.26,2.421,10.89,20.0,0.0,110.7,107.7,130.5,96.2,3.5,3.5,30.0,0.0,100.0,15.0,48.0,56.0,33.76,56.1,65.24,44.73,44.39,35.95,68.45,236.2
40.0,43.28,43.4,40.07,39.9,69.36,69.4,72.8,72.5,71.62,51.97,43.21,43.53,38.76,13.24,221.6,-196.0,28.62,28.04,2.833,2.251,36.61,2.7489999999999997,1.2790000000000001,270.6,214.1,2.7,2.2,37.2,32.5,74.7,78.4,3.9,39.9,2.5,123.5,49.0,45.9,42.0,40.0,0.9638,0.7072,10.89,20.0,0.0,111.1,108.0,131.0,97.3,3.3,3.5,30.0,0.0,100.0,15.0,48.0,56.0,33.56,56.14,65.32,44.53,44.23,34.59,68.0,236.4
40.0,43.2,43.2,40.03,39.9,69.32,69.2,72.72,72.5,71.58,51.93,43.17,43.45,38.34,12.79,221.8,-196.2,28.43,28.21,2.483,2.265,36.5,2.738,1.284,270.9,215.4,2.7,1.9,37.4,32.7,74.4,78.0,3.9,39.9,2.7,123.7,49.6,45.3,42.0,40.0,1.6680000000000001,1.238,10.89,20.0,0.0,111.8,108.4,130.5,97.3,3.3,3.3,30.0,0.0,100.0,15.0,48.0,56.0,33.36,56.1,65.28,44.45,44.14,33.42,59.59,236.4
40.0,43.2,43.2,40.03,39.9,69.28,69.0,72.59,72.3,71.5,51.89,43.13,43.45,37.57,12.38,222.2,-197.1,28.13,27.55,2.821,2.241,36.49,2.7110000000000003,1.297,272.0,213.1,2.6,2.1,37.2,32.5,74.4,78.0,3.6,39.9,2.7,123.7,49.3,45.6,42.0,40.0,3.2939999999999996,2.494,10.89,20.0,0.0,112.0,108.6,131.5,97.5,3.3,3.4,30.0,0.0,100.0,15.0,48.0,56.0,33.16,56.06,65.2,44.45,44.1,32.49,67.7,238.3
40.0,43.2,43.2,39.99,39.9,69.16,69.2,72.55,72.2,71.46,51.85,43.09,43.45,38.26,12.3,220.9,-194.9,28.59,27.64,3.194,2.248,36.43,2.759,1.275,270.4,213.8,2.7,2.2,37.2,32.5,74.4,78.0,3.8,39.8,2.7,124.0,49.6,45.6,42.0,40.0,2.411,1.7930000000000001,10.89,20.0,0.0,112.0,109.0,131.0,97.5,3.2,3.3,30.0,0.0,100.0,15.0,48.0,56.0,32.96,55.98,65.16,44.45,44.1,32.15,76.67,236.5
40.0,43.2,43.2,40.03,40.1,69.16,69.2,72.55,72.3,71.42,51.85,43.13,43.45,38.38,12.8,221.1,-195.5,28.32,27.74,2.84,2.256,36.5,2.728,1.2890000000000001,271.2,214.6,2.8,2.1,37.1,32.4,74.4,78.0,3.8,39.8,2.6,124.0,49.6,46.0,42.0,40.0,1.135,0.841,10.89,20.0,0.0,112.4,109.0,130.0,96.3,3.3,3.3,30.0,0.0,100.0,15.0,48.0,56.0,32.75,56.22,65.28,44.45,44.14,33.9,68.16,237.2
40.0,43.2,43.2,40.03,40.1,69.28,69.0,72.67,72.3,71.54,51.85,43.09,43.45,38.44,12.82,222.8,-197.2,28.08,27.14,3.179,2.237,36.58,2.699,1.3030000000000002,271.6,212.8,2.5,2.4,37.4,32.7,74.7,78.4,4.1,39.9,2.7,124.0,49.3,45.3,42.0,40.0,0.1867,0.1381,10.89,20.0,0.0,112.7,109.4,131.5,96.7,3.1,3.1,30.0,0.0,100.0,15.0,48.0,56.0,32.55,56.55,65.45,44.57,44.23,34.58,76.3,238.5
40.0,43.24,43.4,40.07,40.1,69.4,69.5,72.76,72.5,71.71,51.93,43.17,43.49,37.75,11.82,222.4,-196.5,28.55,27.97,2.862,2.274,36.66,2.738,1.284,270.0,216.4,2.7,2.5,37.4,32.7,75.0,78.9,3.9,39.9,2.5,124.0,49.0,46.0,42.0,40.0,4.329,3.261,10.89,20.0,0.0,112.7,109.4,131.5,97.7,3.1,3.3,30.0,0.0,100.0,15.0,48.0,56.0,32.35,56.92,65.69,44.65,44.27,32.34,68.7,236.0
40.0,43.36,43.4,40.15,40.1,69.65,69.5,73.0,72.8,71.95,52.1,43.25,43.61,38.04,11.91,225.1,-199.0,28.53,27.59,3.1889999999999996,2.244,36.69,2.734,1.286,272.1,213.4,2.5,1.9,37.6,32.9,74.7,78.4,4.4,40.1,2.3,124.2,49.5,45.5,42.0,40.0,3.261,2.438,10.89,20.0,0.0,112.9,109.4,130.5,96.8,3.3,3.3,30.0,0.0,100.0,15.0,48.0,56.0,32.15,57.29,66.02,44.78,44.35,32.74,76.53,238.7
39.0,43.44,43.6,40.23,40.1,69.85,69.4,73.17,73.1,72.12,52.26,43.34,43.69,37.44,11.87,224.2,-198.7,28.67,27.72,3.2039999999999997,2.255,39.24,2.569,1.368,271.1,214.5,2.9,2.3,37.2,32.5,75.0,79.4,3.8,40.1,2.9,124.0,49.2,46.9,44.0,42.0,8.424,6.4,10.6,20.0,0.0,112.9,109.8,132.0,98.3,3.9,3.5,30.0,0.0,100.0,22.76,48.14,56.0,25.0,57.45,66.31,45.18,44.47,32.17,76.9,237.6
39.0,45.33,46.3,40.56,40.5,68.25,67.6,72.84,72.5,72.07,57.46,45.3,45.74,52.08,8.684,166.0,-122.6,42.45,42.23,3.923,3.707,45.25,3.298,1.0659999999999998,272.7,213.8,4.4,3.5,36.3,31.7,76.0,80.4,5.7,39.8,3.6,119.0,42.5,49.2,51.0,49.0,11.36,6.205,9.675,20.0,0.0,112.9,110.1,131.0,98.8,4.9,5.6,30.0,0.0,100.0,39.31,48.97,56.0,25.0,57.65,67.29,47.15,46.44,21.63,94.16,203.3
39.0,47.37,48.0,40.77,40.5,67.6,67.2,73.78,73.9,72.89,62.17,47.31,47.71,69.78,10.02,121.1,-61.3,59.28,58.7,3.5839999999999996,2.9989999999999997,51.96,4.012,0.8764,270.9,215.3,4.4,4.3,36.3,31.7,78.2,83.9,7.0,39.4,3.1,109.6,31.4,53.2,57.0,55.0,15.05,6.136,8.971,20.0,0.0,112.9,109.8,132.5,99.9,6.6,7.3,30.0,0.0,100.0,55.86,49.79,56.0,25.0,57.82,67.9,49.16,48.44,23.84,86.03,139.6
39.0,49.67,50.1,41.34,41.2,66.13,65.0,73.94,73.6,72.24,65.2,49.44,49.96,87.29,19.05,78.58,-10.34,75.08,73.02,4.71,2.6439999999999997,59.22,4.458,0.7888,267.9,216.4,5.8,5.6,35.4,30.9,79.2,85.4,7.7,39.1,3.7,105.3,26.3,54.0,69.0,66.0,16.31,5.313,7.814,20.0,0.0,112.7,110.1,132.5,101.7,8.5,9.3,50.0,0.0,100.0,100.0,57.0,56.0,68.54,58.15,63.81,53.7,51.51,80.73,51.67,18.97
39.0,49.67,49.6,40.23,39.9,65.39,65.3,74.27,74.1,72.12,65.24,49.11,49.8,99.56,24.17,77.05,-1.661,84.67,79.68,6.159,1.162,62.15,4.79,0.7340000000000001,269.0,215.4,4.7,5.4,35.1,30.6,79.5,85.9,9.2,37.8,2.4,102.7,23.0,55.5,72.0,69.0,9.806000000000001,2.801,7.52,20.0,0.0,112.2,109.8,132.5,100.9,8.8,9.8,70.0,0.0,100.0,100.0,57.0,56.0,73.34,58.35,62.82,55.54,52.33,129.6,46.03,-9.157
39.0,49.71,50.0,40.07,39.9,65.39,65.3,74.44,74.3,72.2,65.24,48.86,49.88,101.5,25.12,78.07,-1.663,85.9,78.38,9.033999999999999,1.5190000000000001,62.42,4.838,0.7268,269.3,213.9,4.6,5.5,35.6,30.8,79.8,86.4,9.0,38.0,2.5,101.9,22.1,55.6,72.0,69.0,7.476,2.094,7.52,20.0,0.0,111.6,109.4,134.0,102.1,8.9,10.1,70.0,0.0,100.0,100.0,57.0,56.0,74.15,58.51,62.82,57.1,53.6,139.8,61.98,-1.075
39.0,49.91,50.0,40.19,40.1,65.51,65.6,74.52,74.4,72.32,65.36,48.99,50.08,100.2,24.45,77.41,-1.65,87.0,78.72,9.807,1.525,63.29,4.833,0.7275,267.0,214.8,4.8,5.8,35.3,30.8,79.8,86.9,8.7,37.8,2.5,101.7,22.1,56.1,73.0,69.0,16.87,4.788,7.52,20.0,0.0,110.9,109.2,133.5,102.2,8.9,9.9,60.0,0.0,100.0,100.0,57.0,56.0,79.95,58.68,62.87,57.1,53.77,140.1,70.59,-4.538
39.0,49.99,50.1,40.28,40.2,65.63,65.4,74.68,74.7,72.44,65.49,49.07,50.25,101.0,24.98,77.65,-1.655,86.75,78.49,10.51,2.252,63.91,4.773,0.7367,267.9,214.2,5.1,5.7,35.0,30.5,80.4,87.4,9.3,37.8,2.7,101.9,21.5,56.8,73.0,70.0,13.89,3.9130000000000003,7.4239999999999995,20.0,0.0,110.7,109.0,134.0,102.9,9.1,10.0,60.0,0.0,100.0,100.0,57.0,56.0,75.76,58.72,62.91,57.63,54.05,143.2,70.46,-2.9139999999999997
39.0,50.12,50.1,40.32,40.1,65.8,65.6,74.93,74.9,72.65,65.65,49.11,50.33,102.3,25.55,78.44,-1.662,87.91,78.87,10.93,1.896,63.9,4.837,0.7269,269.0,215.3,5.1,5.5,35.0,30.5,80.4,87.4,9.0,37.8,3.1,102.1,21.7,56.9,73.0,70.0,13.21,3.673,7.4239999999999995,20.0,0.0,110.3,108.6,133.0,101.7,9.1,10.0,60.0,0.0,100.0,100.0,57.0,56.0,81.56,58.84,63.03,57.67,54.05,146.4,72.43,-1.499
39.0,50.16,50.1,40.28,40.1,65.92,65.8,75.09,74.9,72.77,65.73,49.19,50.33,102.8,26.01,78.91,-2.121,88.71,80.04,10.2,1.53,64.44,4.84,0.7264,269.1,215.4,5.1,5.8,35.0,30.5,80.7,87.9,9.2,37.8,2.8,102.1,21.4,56.9,74.0,71.0,14.89,4.119,7.327999999999999,20.0,0.0,109.8,108.2,133.5,103.1,9.1,10.2,60.0,0.0,100.0,100.0,57.0,56.0,82.37,58.92,63.07,57.59,54.05,150.5,69.18,-3.84
39.0,50.12,50.3,40.23,39.9,66.0,65.8,75.21,75.2,72.89,65.85,49.23,50.33,102.7,25.88,78.52,-1.6540000000000001,88.07,80.19,9.764,1.883,64.45,4.805,0.7318,267.7,213.9,4.9,5.8,35.0,30.5,81.0,88.4,9.3,37.7,2.7,102.3,21.1,57.3,74.0,71.0,12.85,3.5580000000000003,7.327999999999999,20.0,0.0,109.8,108.0,134.5,103.4,9.3,10.2,70.0,0.0,100.0,100.0,57.0,56.0,83.17,58.92,63.11,57.47,54.05,148.3,68.59,-5.709
39.0,50.12,50.3,40.11,39.9,66.04,65.9,75.3,75.2,72.97,65.9,49.15,50.29,103.7,26.0,79.32,-1.661,89.42,80.79,10.16,1.5230000000000001,65.15,4.8260000000000005,0.7286,268.9,214.5,5.0,5.7,35.0,30.6,80.7,87.9,9.0,37.5,2.4,102.3,21.4,57.3,75.0,72.0,15.08,4.138999999999999,7.233,20.0,0.0,109.2,107.5,134.0,103.1,9.4,10.2,70.0,0.0,100.0,100.0,57.0,56.0,83.98,58.92,63.15,57.39,53.97,147.5,71.35,-4.958
39.0,50.03,50.0,40.07,39.9,66.04,65.9,75.34,75.2,72.97,65.9,49.15,50.29,104.3,26.51,79.48,-1.6640000000000001,89.01,81.11,10.15,2.254,64.97,4.816,0.73,269.4,214.4,4.8,5.5,35.0,30.5,81.0,87.9,9.3,37.7,2.5,102.3,21.1,57.4,74.0,71.0,11.15,3.0389999999999997,7.327999999999999,20.0,0.0,109.2,107.1,133.5,102.6,9.3,10.2,70.0,0.0,100.0,100.0,57.0,56.0,84.79,59.0,63.19,57.22,53.89,151.9,73.07,-5.542999999999999
